country,Code,Year,Electric cars sold,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt),Total energy consumption (EJ),Carbon Intensity (MtCO2 per EJ),Clean electricity share (%)
Poland,POL,2013,37,Europe,304.7768354,3.103978672,0.320516544,71.48729844,98.18908814,10.70907765,15.76655086,21.461,24.893,6.205994117,18.22897778,0.103259905,164.58,134.481,136.882,3.65354235,1.501,142.866,4.11098074224552,74.13725690028976,14.36262
Poland,POL,2014,201,Europe,291.7762098,3.082869091,0.296989094,67.90238683,94.64437223,12.82165737,16.3553075,21.405,24.812,6.080010382,17.65798497,0.096335292,159.059,136.308,130.475,4.835312683,1.493,137.148,3.9625705765256405,73.6330632263029,17.656970053000002
Poland,POL,2015,220,Europe,296.0080193,3.097809091,0.290157169,68.52334038,95.55399014,14.11751867,16.34785924,23.086,27.486,6.077996623,18.20201713,0.093665284,164.944,138.927,129.098,6.622853817,1.557,135.814,4.00065445918152,73.98989898281773,20.740372487000002
Poland,POL,2016,510,Europe,306.6235643,3.071659172,0.291627684,67.24783384,99.82343324,13.97605545,15.98650607,25.319,27.016,5.793996081,19.02198637,0.09494142,166.635,143.764,128.173,7.634650584,1.601,131.029,4.17940750289232,73.36531890891328,21.610706034
Poland,POL,2017,1080,Europe,319.4739849,3.058677371,0.289552508,64.87522543,104.448409,14.42900256,15.36853007,28.383133,26.691728,5.746653687,20.07665532,0.09466592,170.465352,146.425464,129.670746,8.847547506,1.581141,127.135766,4.3730459880120005,73.05525388385723,23.276550066
Poland,POL,2018,1380,Europe,320.1513036,3.007035324,0.275959922,63.05235712,106.4674236,12.95851908,15.74637672,28.894769,28.214812,5.678209813,20.290675,0.091771427,170.039461,151.402779,126.717743,7.738687786,1.652761,122.427868,4.4575780912848,71.82180481054081,20.697206866000002
Poland,POL,2019,2700,Europe,301.8927163,2.919734879,0.249015903,60.00850193,103.3973045,14.47815449,15.81745401,29.42340844,28.43539825,5.60946239,20.86452105,0.085287163,163.9904446,149.9139832,112.7901542,9.68166482,1.59221431,112.4088788,4.329038344806,69.73666949894594,24.15981931
Poland,POL,2020,8200,Europe,278.032797,2.85246813,0.235941433,55.37955584,97.4709565,16.67080675,15.93095388,28.66436728,26.69068828,5.534141826,21.53196838,0.082714836,157.5503825,144.6542972,99.767189,11.21195823,1.5222327,100.7725952,4.080914006742001,68.13003080698768,27.88276498
Portugal,PRT,2011,172,Europe,48.0000851,2.101856701,0.152331307,5.520699395,22.83699221,47.06173875,22.9078916,10.322,10.82,,5.1839987,0.07247464,52.463,49.114,3.721,18.39582182,0.0,0.0,0.95613918984828,50.20198482567862,65.45756057
Portugal,PRT,2012,84,Europe,46.50466338,2.167998197,0.153826693,4.716862725,21.45050832,43.78204441,24.26184645,9.14,11.673,,4.490004125,0.07095333,46.615,47.11,4.865,23.16421753,0.016,0.0,0.8980898823417601,51.78174734441899,66.94626194
Portugal,PRT,2013,185,Europe,45.09032359,2.09085625,0.150537307,5.821121779,21.56548237,59.23789987,23.98504237,9.183,13.941,,4.263996923,0.071997923,51.673,46.273,4.438,24.55827995,0.076,0.0,0.9029036158671602,49.939243566650994,83.79617981999999
Portugal,PRT,2014,288,Europe,44.17822416,2.080464911,0.14633296,6.045745408,21.23478455,61.36772532,24.01079942,9.027,12.662,,4.079001377,0.070336663,52.803,46.139,4.529,24.51186486,0.072,0.0,0.8890579595394,49.691050719446565,85.87959018
Portugal,PRT,2015,1100,Europe,48.22857772,2.189332714,0.156936699,5.368086938,22.02889374,48.66653949,24.25639315,9.124,15.092,,4.735976476,0.071682435,52.42,46.849,5.513,24.04998092,0.07,0.0,0.9223057231063201,52.29131351106273,72.71652041
Portugal,PRT,2016,1800,Europe,47.63142417,2.178333607,0.151925439,6.06593469,21.86599151,55.52387741,24.69820819,9.039,14.915,,5.049004078,0.06974388,60.329,47.36,4.811,22.40381906,0.071,0.281,0.9154853325406801,52.02860436639871,77.92769647
Portugal,PRT,2017,4400,Europe,51.99430623,2.276821554,0.160223327,5.287093595,22.83635541,40.90052179,24.40326573,9.151641,15.477508,,6.282251226,0.070371491,59.431721,47.660588,5.453806,22.64121545,0.070827,0.27,0.95611252830588,54.38094857111417,63.54173724
Portugal,PRT,2018,8200,Europe,48.12654262,2.180736428,0.144770368,5.935758708,22.06894057,51.37321482,25.44853329,8.59659,13.795726,,5.728976344,0.066386,59.636081,48.897005,4.552338,23.22900293,0.06538,0.221,0.92398240378476,52.0859947363359,74.60221775
Portugal,PRT,2019,12600,Europe,44.52823965,2.053416777,0.131107762,5.747946086,21.68494977,54.12277252,24.00536603,9.255615958,13.08160137,,6.007052962,0.063848588,52.95584094,48.17622511,2.115979484,28.94146221,0.066,0.197,0.9079054769703601,49.04501710749532,83.06423473
Portugal,PRT,2020,19800,Europe,38.90538033,1.943811809,0.123973988,6.149069422,20.0149933,59.70064134,24.43401699,8.193063469,11.57070696,,5.966754776,0.063778802,53.09929117,45.99130983,0.960874894,26.80374199,0.066625879,0.147,0.8379877394844001,46.427147435280894,86.50438333
South Korea,KOR,2015,3350,Asia & Pacific,638.4330924,2.255891786,0.34995445,61.73565397,283.006967,2.585865311,21.99253813,97.743,140.348,0.187999981,44.32197376,0.155129095,552.697,506.645,135.0120586,1.249147363,0.658,1.764,11.848935694356,53.88104964601206,3.835012674
South Korea,KOR,2016,5030,Asia & Pacific,655.9002989,2.235905436,0.349297052,62.37674426,293.3488547,3.496426432,22.28010016,102.239,146.377,0.153999909,47.02404469,0.156221746,562.603,530.142,134.9580312,1.501236218,0.689,1.726,12.281929848579601,53.403683866168194,4.99766265
South Korea,KOR,2017,14670,Asia & Pacific,665.3422564,2.25504582,0.343795663,61.89858198,295.0460033,4.023300737,21.84219998,102.942633,153.462,0.340487889,48.75451383,0.152456176,566.879572,538.384461,138.4664083,1.972903691,0.718,1.486,12.3529860661644,53.86084407740198,5.9962044279999995
South Korea,KOR,2018,59400,Asia & Pacific,667.3758962,2.256103807,0.335884053,58.80191498,295.8090377,4.564731445,22.20875938,99.990798,158.507,0.291197008,54.11191938,0.148877925,590.111167,545.483938,139.010125,2.359433235,0.774,1.14,12.3849327904236,53.886113674838434,6.92416468
South Korea,KOR,2019,35700,Asia & Pacific,608.4214248,2.079728456,0.300093903,62.12397669,292.5484926,5.343168389,22.26020647,99.685347,157.4790143,0.246397468,52.45599355,0.144294753,582.2447003,538.3705905,131.0825141,3.161424809,0.634761905,1.0298,12.2484202881768,49.67346077986067,8.504593198
South Korea,KOR,2020,39700,Asia & Pacific,569.7679483,2.015087861,0.283867383,67.11643754,282.7509208,7.073798163,22.68485701,93.92685555,145.9620898,0.176709296,53.03057678,0.140870971,570.9987655,525.5302655,114.8577182,5.15932276,0.421809524,0.96805,11.838215552054402,48.129546703609606,12.233120923000001
Spain,ESP,2011,398,Europe,270.3435999,2.160608587,0.167874928,31.78499822,125.12382,30.57271301,23.38601375,53.664,56.512,0.05199997,33.25002409,0.077697982,293.847,248.835,24.694,17.86235694,0.1,9.445,5.23868409576,51.60524951653532,48.43506995
Spain,ESP,2012,540,Europe,265.4876967,2.134423406,0.169887278,32.79816639,124.3838012,30.44068571,24.21304014,49.451,61.235,0.061000005,32.39702623,0.079593991,297.559,245.503,28.449,20.70681781,0.142,8.43,5.2077009886416,50.97982723644259,51.14750352
Spain,ESP,2013,882,Europe,238.2793195,2.056809703,0.154696975,33.89817063,115.8489865,40.46899671,24.18993293,46.751,60.322,0.056999953,29.62799524,0.075212099,285.631,235.181,21.149,24.06671545,0.368,6.621,4.850365366782,49.12605576723546,64.53571216
Spain,ESP,2014,1730,Europe,236.0035556,2.084839195,0.151128018,34.22779213,113.1998843,40.92197309,24.5660087,45.417,60.201,0.02400002,27.23100414,0.072489053,278.75,233.306,23.078,23.5644843,0.305,6.181,4.7394527558724,49.795528673132296,64.48645739
Spain,ESP,2015,2080,Europe,251.6995005,2.142513684,0.155225943,32.70147015,117.4785965,35.71095472,24.75593156,47.863,64.74,0.062000069,28.20301034,0.072450386,280.911,238.545,26.058,22.5694259,0.232,4.368,4.9185938782620005,51.173060173233644,58.280380619999995
Spain,ESP,2016,3500,Europe,242.8458638,2.049766126,0.145359519,33.28918763,118.4749132,39.34243664,24.12162161,49.491,64.77,0.054000019,28.76099176,0.070915173,274.772,239.821,19.822,22.80290568,0.141,3.899,4.9603076658576,48.95782281239076,62.14534232
Spain,ESP,2017,7400,Europe,258.2111175,2.07142524,0.150212846,32.69578316,124.6538434,32.88482044,24.24550122,49.867,65.819,0.027000024,31.12896371,0.072516663,275.726,246.542,24.063,23.07181767,0.12,3.064,5.2190071154712,49.47514187795609,55.95663811
Spain,ESP,2018,11600,Europe,253.4278891,2.039852382,0.14404375,33.17250299,124.2383476,38.7514028,23.60658408,50.516,68.112,0.087000035,30.95700234,0.070614791,274.452,245.769,20.88,23.22227566,0.087,1.8,5.2016111373168,48.721037080585816,61.97367846
Spain,ESP,2019,17400,Europe,237.1269055,1.965245932,0.132165655,33.14006782,120.6601686,37.63363448,23.538746,50.41469778,65.74689542,0.130306089,35.31751037,0.067251459,274.2909761,241.8438621,8.790862721,25.8282673,0.040249164,2.977,5.051799938944801,46.939092673082,63.46190178
Spain,ESP,2020,42000,Europe,191.1271663,1.788191723,0.119693397,33.74636091,106.8829275,43.91544261,25.31021098,41.06094412,56.0058887,0.05224639,31.82116585,0.066935439,264.1226454,227.8493054,3.826858929,29.11508021,0.027538849,2.401,4.47497440857,42.7102255454184,73.03052282
Sweden,SWE,2012,930,Europe,42.02155949,0.839083074,0.09496508,35.5853915,50.08033265,59.09846843,32.38758399,11.048,21.409,,1.178001246,0.113177209,166.561,132.116,3.530678422,4.312534147,0.0,0.472,2.0967633673902,20.041154926463353,63.411002577
Sweden,SWE,2013,1530,Europe,40.56261585,0.823268353,0.090681532,34.59013052,49.27022361,54.0740112,32.31860252,10.701,17.584,,1.077000602,0.110148206,153.166,129.341,3.565697409,6.44855908,0.0,0.624,2.0628457221034804,19.66342679695812,60.522570280000004
Sweden,SWE,2014,4600,Europe,39.24044525,0.816536155,0.08538006,34.27982953,48.05720481,55.86901206,32.35990338,10.465,19.799,,0.919999132,0.104563722,153.663,126.845,3.248284415,7.342040699,0.0,0.45,2.01205905098508,19.50263101412871,63.211052759000005
Sweden,SWE,2015,8700,Europe,38.95830021,0.878187454,0.08117747,33.80781441,44.36216897,63.3037653,32.691853,10.189,21.367,,0.964000308,0.09243752,162.112,129.275,3.176323945,10.12818298,0.0,0.369,1.85735529043596,20.975146979475138,73.43194828
Sweden,SWE,2016,12900,Europe,39.03062649,0.817503444,0.079411936,34.75709504,47.7436845,57.20530735,32.6093819,10.348,21.211,,0.921000655,0.097139574,156.01,132.057,3.140062471,10.01346068,0.003,0.424,1.998932582646,19.525734298820076,67.21876802999999
Sweden,SWE,2017,20400,Europe,39.05641306,0.796235121,0.077592975,35.99779206,49.05135683,57.8891933,32.19072718,10.209637,21.132,,1.141000431,0.097449827,164.25,132.003,3.119479376,10.8608828,0.002,0.377,2.0536822077584405,19.01774914952855,68.7500761
Sweden,SWE,2018,29100,Europe,36.58645176,0.735611925,0.071103701,36.30087412,49.73607759,55.80966952,32.8709997,9.131632,21.649,,1.223001359,0.096659255,163.4,131.859,3.225051895,10.42227662,0.001,0.535,2.08235009653812,17.56978897104022,66.23194614
Sweden,SWE,2019,41000,Europe,36.07282437,0.738465485,0.069232474,36.80445317,48.84835528,58.511529,32.60167633,8.826891781,16.75536141,,1.215067862,0.093751807,169.1077608,128.3168126,3.062210605,12.14440445,0.005,0.535,2.0451829388630403,17.637945087716034,70.65593345
Sweden,SWE,2020,94000,Europe,32.2022888,0.687893043,0.063649825,32.86651908,46.8129299,68.40278071,32.74191651,7.930607086,18.43099921,,1.253523343,0.092528665,163.6837354,123.4699071,2.688657805,17.30028741,0.004,0.535,1.9599637490532,16.43004306358011,85.70306812
Turkey,TUR,2014,68,Europe,316.3185021,2.653461351,0.166754001,29.04959482,119.2097642,20.88759064,20.1304323,32.006,21.876,0.478999885,48.72597911,0.062843953,251.963,207.375,96.829,4.460575561,2.667,65.237,4.9910744075256,63.37683558134322,25.348166200999998
Turkey,TUR,2015,230,Europe,329.0166396,2.548620063,0.163497803,31.94342786,129.0959937,31.95700256,19.294203,37.274,29.234,0.381000152,48.06201044,0.064151501,261.783,217.313,92.605,6.022545391,2.933,58.414,5.4049910642316,60.87274441160887,37.979547951
Turkey,TUR,2016,127,Europe,349.2837109,2.551896549,0.168213458,36.25553469,136.8722063,32.88716072,19.6732601,40.679,29.605,0.36700024,46.45297483,0.065917037,274.408,231.204,106.832,8.050785691,3.035,73.004,5.7305655333684,60.95100193273467,40.937946411
Turkey,TUR,2017,111,Europe,386.610889,2.630132342,0.173247006,37.05946144,146.9929413,29.34477953,19.77399898,43.053,31.94,0.353999854,53.98681342,0.065870072,297.277524,249.022646,112.416797,9.341077868,3.045,74.098171,6.154300466348401,62.81963175408497,38.685857397999996
Turkey,TUR,2018,235,Europe,383.4023183,2.655835389,0.167086042,40.53612564,144.3622296,32.07589097,20.92521748,40.965737,28.227,0.42799977,49.71426298,0.0629128,304.801884,258.232177,122.273446,11.85366164,3.368,83.936653,6.044157828892801,63.43353849352302,43.92955261
Turkey,TUR,2019,324,Europe,373.7179503,2.583479154,0.161385704,45.75502429,144.6568476,43.48071514,20.63183083,39.74308465,37.0700199,0.474662101,44.8325123,0.062468359,303.8979996,257.3513519,124.692514,13.52086846,3.716167336,87.08953861,6.0564928953168,61.70533950249961,57.001583600000004
Turkey,TUR,2020,1290,Europe,354.0661216,2.516209989,0.150195769,42.18182284,140.7140593,41.59850895,20.38216426,39.55224455,35.23285549,0.44184982,47.8920394,0.05969127,305.4318271,258.6363023,108.9670999,15.1177773,4.000688109,70.37662193,5.8914162347724,60.09864309199983,56.71628625
United Kingdom,GBR,2010,261,Europe,485.1839063,2.382855802,0.193704871,148.4936944,203.6144638,7.677107135,20.27795067,59.921,74.392,57.94104918,99.41197975,0.081291059,382.071,337.509,50.73197714,2.703162501,62.962,18.346,8.524930370378401,56.91353304020756,10.380269636
United Kingdom,GBR,2011,1207,Europe,446.0883968,2.362448965,0.175395034,129.8743451,188.8245644,10.3588743,21.44385897,57.397,75.947,46.36404567,82.68500729,0.074242888,367.984,325.918,50.53281954,4.404539328,51.972,18.552,7.905706862299201,56.42612413664235,14.763413628
United Kingdom,GBR,2012,2570,Europe,467.7704768,2.413088917,0.181239694,116.6799723,193.847178,12.15129205,21.01778842,56.65,72.578,39.64702729,77.62696424,0.075106927,363.879,325.483,63.79859346,5.82748661,44.56,16.967,8.115993648504,57.63563859937506,17.97877866
United Kingdom,GBR,2013,3700,Europe,455.1378508,2.382448197,0.172651279,109.545466,191.0378792,15.66301041,20.68378933,55.228,66.315,37.34997803,77.05707767,0.07246801,358.29,324.321,60.80425906,8.488096235,40.671,12.768,7.9983739263456,56.903797570758144,24.151106645
United Kingdom,GBR,2014,14500,Europe,414.5447849,2.303239217,0.153256639,107.9341371,179.9833824,19.93670512,20.98449843,55.138,61.521,38.76604614,70.72799217,0.06653961,338.1,310.807,48.91419979,10.65217391,39.965,11.647,7.5355442543232005,55.01192361283957,30.58887903
United Kingdom,GBR,2015,29000,Europe,402.429882,2.214325147,0.145353929,118.1408829,181.7392909,25.56166457,20.37978186,57.213,62.025,40.48002688,72.74107794,0.065642541,339.571,311.012,38.53195223,14.07952976,45.319,8.598,7.6090606314012,52.88824751103252,39.641194330000005
United Kingdom,GBR,2016,39000,Europe,379.2242828,2.122556804,0.13439439,119.9661782,178.6639029,25.50367755,20.20044715,58.659,61.03,41.69400436,81.44809246,0.063317217,339.9,311.296,18.84411487,13.9929391,47.445,4.178,7.480300286617201,50.69639830882989,39.49661665
United Kingdom,GBR,2017,49000,Europe,366.9947914,2.084092867,0.127645199,120.0367484,176.0933004,30.25290426,19.9939174,59.461746,60.952841,42.13810991,79.34450639,0.061247366,338.642304,306.79289,15.14665935,18.04638767,46.630331,3.041401,7.3726743011472005,49.777702962260925,48.29929193
United Kingdom,GBR,2018,62000,Europe,359.237295,2.050163228,0.123239354,123.0259188,175.2237529,33.98386402,19.84461516,58.026031,59.014871,40.8273415,80.02246325,0.060111972,333.424036,306.584397,12.84470041,20.92548901,50.870391,2.580922,7.3362680864172,48.96730746046661,54.90935303
United Kingdom,GBR,2019,75000,Europe,346.5840699,2.036000877,0.117184155,123.1236966,170.2278588,37.82347148,20.0268931,56.54137429,59.27809012,39.65269578,77.78100495,0.057556043,325.3935826,302.3100193,8.993369764,23.782826,51.81559471,2.431808443,7.127099992238401,48.629045513243696,61.60629748
United Kingdom,GBR,2020,178000,Europe,304.2234069,1.969618895,0.114163725,116.7495672,154.4580059,43.73747467,20.89598192,47.8472577,48.90908024,39.592291,72.94187209,0.057962342,313.3678381,286.021178,8.2486578,28.25458302,48.16391355,1.570234255,6.4668477910212,47.04353909835245,71.99205769
United States,USA,2011,17800,North America,5237.028202,2.389774174,0.315498328,1787.131047,2191.432253,12.6863937,22.21127832,728.558,806.803,648.7583311,692.9745379,0.132020143,4349.463,3885.019,910.229,3.42564128,346.534,1005.921,91.750885568604,57.07877552946525,16.11203498
United States,USA,2012,54000,North America,5047.417502,2.345081614,0.297385638,1820.98522,2152.341936,12.41296211,22.33966985,715.341,802.654,680.7953652,728.312803,0.12681249,4290.66,3830.933,806.927,4.063151124,395.624,932.274,90.11425217644799,56.01131208542814,16.476113234
United States,USA,2013,97000,North America,5150.895617,2.35180561,0.297993125,1878.56696,2190.187656,13.02858021,21.87661665,725.28,818.186,685.6771327,739.3527321,0.12670823,4306.371,3871.735,837.121,4.838482332,449.114,903.663,91.69877678140801,56.171911968670315,17.867062542
United States,USA,2014,118000,North America,5191.648859,2.342277703,0.293162543,2015.802848,2216.495872,13.37929407,21.67933919,730.677,842.903,733.4309937,750.4707305,0.125161309,4340.371,3895.216,830.644,5.361385006,524.415,918.197,92.800249168896,55.94434180398831,18.740679076
United States,USA,2015,114000,North America,5044.075416,2.300876688,0.276853451,2027.113489,2192.240655,13.63280806,21.72297561,744.44,860.248,766.524505,767.0698025,0.120325202,4317.159,3895.365,721.973,5.857370553,566.84,813.69,91.78473174354001,54.95549554030278,19.490178613
United States,USA,2016,160000,North America,4948.92393,2.282195686,0.267439532,1920.069185,2168.492369,15.25944473,21.839218,747.401,869.578,755.2632818,776.6617695,0.117185189,4322.038,3922.011,663.272,7.032955286,545.239,660.76,90.790438505292,54.509307493999344,22.292400016000002
United States,USA,2017,194000,North America,4890.655983,2.263182212,0.258558468,1998.078309,2160.964308,17.28541849,21.4296291,745.217102,883.330887,773.3006665,769.7507295,0.114245537,4286.428741,3886.956078,650.319,8.221274802,575.222992,702.715,90.475253647344,54.055178469715955,25.506693292
United States,USA,2018,360000,North America,5055.83267,2.260882485,0.259689067,2177.940569,2236.220902,17.16288286,21.27065818,762.800127,908.397596,866.4732565,855.9696803,0.114861816,4455.438712,4042.840012,624.733,8.642579057,671.940182,685.983,93.626096724936,54.00025043074822,25.805461917000002
United States,USA,2019,325000,North America,4932.637347,2.228276776,0.24800191,2304.593149,2213.655592,17.85274653,20.98589882,763.9529548,897.2473041,958.5043764,882.6370834,0.111297624,4400.634477,3996.108509,532.5208639,9.497574851,748.1924429,640.752594,92.681332325856,53.22147646364709,27.350321381
United States,USA,2020,294000,North America,4404.709314,2.153144811,0.229491064,2190.194556,2045.709741,19.79598008,22.02362155,673.5117541,769.4140369,959.8498485,870.791798,0.106584129,4262.456146,3842.156882,419.2200095,11.16613153,722.4244375,488.4845226,85.649775436188,51.42698029934309,30.96211161
